rank,task,difficulty,human_best,human_median,q50_best_ratio,deepseek-v4-pro_t1,deepseek-v4-pro_t2,deepseek-v4-pro_t3,deepseek-v4-pro_best,qwen3.6-flash_t1,qwen3.6-flash_t2,qwen3.6-flash_t3,qwen3.6-flash_best,best_overall,best_model
1,256,简单,93,123,1.32,113,123,161,113,123,139,193,123,113,deepseek-v4-pro
2,214,简单,61,75,1.23,75,82,82,75,98,104,108,98,75,deepseek-v4-pro
3,329,简单,54,54,1.01,54,54,54,54,55,55,55,55,54,deepseek-v4-pro
4,304,简单,92,97,1.05,104,119,123,104,123,124,124,123,104,deepseek-v4-pro
5,60,简单,47,53,1.13,,,,,,,,,,
6,217,简单,95,109,1.15,136,139,144,136,188,194,,188,136,deepseek-v4-pro
7,315,简单,63,64,1.02,90,94,95,90,90,90,90,90,90,deepseek-v4-pro
8,239,简单,99,114,1.15,111,113,115,111,122,125,140,122,111,deepseek-v4-pro
9,290,简单,65,70,1.08,80,158,182,80,102,155,186,102,80,deepseek-v4-pro
10,149,简单,74,83,1.12,81,82,86,81,87,88,114,87,81,deepseek-v4-pro
11,318,简单,54,64,1.19,60,60,72,60,84,85,90,84,60,deepseek-v4-pro
12,267,简单,46,58,1.26,56,57,60,56,61,63,63,61,56,deepseek-v4-pro
13,303,简单,62,71,1.15,66,70,72,66,104,131,162,104,66,deepseek-v4-pro
14,211,简单,48,49,1.02,49,49,49,49,49,49,49,49,49,deepseek-v4-pro
15,236,简单,54,65,1.2,64,66,66,64,74,78,85,74,64,deepseek-v4-pro
16,45,简单,45,47,1.06,,,,,,,,,,
17,169,中等,108,199,1.84,253,270,308,253,282,299,299,282,253,deepseek-v4-pro
18,189,中等,95,138,1.45,136,138,139,136,570,,,570,136,deepseek-v4-pro
19,354,中等,91,121,1.33,129,254,260,129,219,395,699,219,129,deepseek-v4-pro
20,212,中等,88,160,1.82,176,179,194,176,225,227,274,225,176,deepseek-v4-pro
21,19,中等,103,169,1.65,,,,,,,,,,
22,333,中等,83,138,1.67,214,251,272,214,397,,,397,214,deepseek-v4-pro
23,25,中等,127,213,1.68,,,,,,,,,,
24,384,中等,61,88,1.44,86,154,159,86,218,242,244,218,86,deepseek-v4-pro
25,92,中等,86,152,1.77,,,,,,,,,,
26,313,中等,61,83,1.36,68,82,83,68,111,132,,111,68,deepseek-v4-pro
27,145,中等,156,277,1.78,302,336,370,302,,,,,302,deepseek-v4-pro
28,331,中等,82,136,1.66,125,136,157,125,,,,,125,deepseek-v4-pro
29,168,中等,110,196,1.78,210,265,346,210,,,,,210,deepseek-v4-pro
30,21,中等,51,76,1.5,,,,,,,,,,
31,46,中等,166,259,1.56,,,,,,,,,,
32,369,中等,109,209,1.92,275,275,282,275,,,,,275,deepseek-v4-pro
33,350,中等,89,122,1.37,136,172,173,136,,,,,136,deepseek-v4-pro
34,112,中等,91,155,1.7,157,166,170,157,,,,,157,deepseek-v4-pro
35,344,中等,74,120,1.62,203,205,228,203,,,,,203,deepseek-v4-pro
36,37,中等,101,158,1.56,,,,,,,,,,
37,260,中等,130,209,1.61,190,205,237,190,,,,,190,deepseek-v4-pro
38,246,中等,104,168,1.62,171,176,184,171,,,,,171,deepseek-v4-pro
39,270,中等,114,180,1.58,229,295,,229,,,,,229,deepseek-v4-pro
40,254,中等,81,124,1.53,114,117,128,114,,,,,114,deepseek-v4-pro
41,204,中等,93,162,1.74,189,197,222,189,,,,,189,deepseek-v4-pro
42,88,中等,95,149,1.57,,,,,,,,,,
43,13,中等,124,198,1.6,,,,,,,,,,
44,124,中等,95,125,1.32,232,269,293,232,,,,,232,deepseek-v4-pro
45,120,中等,74,119,1.61,135,141,151,135,,,,,135,deepseek-v4-pro
46,250,中等,95,167,1.76,162,184,211,162,,,,,162,deepseek-v4-pro
