,n_teams,record_bytes,median_r,mean_r,std_r,item_total_corr,n_at_record
task001,47,58.0,0.951,0.918,0.085,0.375,3
task002,44,86.0,0.732,0.654,0.243,0.837,1
task003,45,58.0,0.951,0.932,0.059,0.506,11
task004,41,73.0,0.525,0.56,0.213,0.885,1
task005,37,166.0,0.595,0.575,0.166,0.834,1
task006,46,49.0,0.925,0.902,0.083,0.708,4
task007,43,62.0,0.861,0.738,0.217,0.818,2
task008,39,84.0,0.553,0.565,0.236,0.884,2
task009,40,95.0,0.624,0.612,0.238,0.933,1
task010,44,66.0,0.742,0.77,0.117,0.791,1
task011,41,114.0,0.722,0.707,0.15,0.861,1
task012,39,122.0,0.626,0.7,0.154,0.861,1
task013,40,124.0,0.626,0.632,0.2,0.906,1
task014,43,57.0,0.543,0.542,0.203,0.843,1
task015,40,87.0,0.659,0.641,0.174,0.891,1
task016,46,43.0,0.869,0.857,0.094,0.793,5
task017,39,90.0,0.545,0.554,0.197,0.891,1
task018,35,275.0,0.702,0.668,0.183,0.868,1
task019,40,103.0,0.608,0.643,0.19,0.952,1
task020,38,126.0,0.582,0.623,0.186,0.898,1
task021,44,51.0,0.667,0.692,0.193,0.797,2
task022,40,91.0,0.843,0.719,0.219,0.921,1
task023,35,182.0,0.697,0.708,0.15,0.864,1
task024,43,62.0,0.899,0.745,0.256,0.899,10
task025,37,127.0,0.596,0.611,0.189,0.907,1
task026,44,50.0,0.877,0.901,0.058,0.68,4
task027,38,97.0,0.698,0.635,0.253,0.928,1
task028,43,63.0,0.741,0.699,0.194,0.927,3
task029,37,103.0,0.582,0.63,0.207,0.915,1
task030,38,93.0,0.55,0.645,0.235,0.93,3
task031,45,45.0,0.9,0.735,0.254,0.776,4
task032,45,39.0,1.0,0.918,0.181,0.484,36
task033,41,71.0,0.899,0.763,0.235,0.789,1
task034,36,116.0,0.494,0.566,0.218,0.902,1
task035,39,82.0,0.683,0.638,0.264,0.922,2
task036,40,75.0,0.468,0.532,0.24,0.898,3
task037,37,101.0,0.639,0.65,0.223,0.967,1
task038,44,51.0,0.963,0.761,0.264,0.924,13
task039,42,60.0,0.811,0.708,0.283,0.922,5
task040,40,63.0,0.759,0.663,0.234,0.898,1
task041,44,49.0,0.98,0.84,0.186,0.834,21
task042,35,132.0,0.502,0.583,0.238,0.89,1
task043,43,56.0,0.889,0.765,0.237,0.909,4
task044,34,195.0,0.553,0.58,0.215,0.917,1
task045,46,45.0,0.947,0.859,0.195,0.79,13
task046,34,166.0,0.641,0.667,0.195,0.93,1
task047,43,55.0,0.797,0.711,0.297,0.925,9
task048,37,92.0,0.511,0.555,0.199,0.89,1
task049,41,81.0,0.81,0.704,0.28,0.949,7
task050,39,83.0,0.798,0.664,0.24,0.948,1
task051,38,111.0,0.583,0.624,0.245,0.952,1
task052,45,40.0,0.976,0.943,0.079,0.762,17
task053,45,21.0,1.0,0.913,0.166,0.635,25
task054,34,266.0,0.694,0.689,0.188,0.881,1
task055,41,77.0,0.631,0.608,0.247,0.963,1
task056,43,39.0,0.765,0.75,0.191,0.868,1
task057,43,48.0,0.814,0.742,0.213,0.812,2
task058,37,85.0,0.612,0.602,0.231,0.928,1
task059,38,151.0,0.761,0.743,0.157,0.942,1
task060,45,47.0,0.887,0.839,0.184,0.803,6
task061,41,62.0,0.925,0.681,0.347,0.872,4
task062,35,121.0,0.526,0.595,0.213,0.928,1
task063,39,74.0,0.733,0.691,0.241,0.948,1
task064,36,135.0,0.633,0.612,0.222,0.946,1
task065,41,82.0,0.695,0.624,0.207,0.904,1
task066,35,237.0,0.712,0.689,0.182,0.844,1
task067,46,33.0,1.0,0.976,0.064,0.516,39
task068,39,99.0,0.656,0.623,0.193,0.942,1
task069,37,143.0,0.722,0.748,0.123,0.906,1
task070,39,78.0,0.479,0.577,0.207,0.888,1
task071,34,100.0,0.661,0.586,0.268,0.904,1
task072,46,54.0,0.85,0.829,0.093,0.796,4
task073,44,46.0,0.979,0.828,0.214,0.866,21
task074,37,77.0,0.597,0.598,0.256,0.854,3
task075,39,86.0,0.789,0.739,0.233,0.94,11
task076,33,258.0,0.725,0.709,0.183,0.89,1
task077,34,110.0,0.504,0.548,0.273,0.945,1
task078,44,59.0,0.881,0.77,0.223,0.867,1
task079,36,105.0,0.602,0.617,0.253,0.885,1
task080,33,231.0,0.794,0.723,0.195,0.893,1
task081,41,81.0,0.604,0.618,0.224,0.946,1
task082,45,50.0,0.862,0.768,0.27,0.888,20
task083,46,40.0,1.0,0.985,0.048,0.439,40
task084,43,62.0,0.925,0.909,0.087,0.653,9
task085,42,49.0,0.551,0.557,0.248,0.847,4
task086,32,151.0,0.599,0.57,0.198,0.92,1
task087,45,36.0,1.0,0.999,0.004,0.058,44
task088,39,95.0,0.638,0.623,0.24,0.96,1
task089,33,232.0,0.714,0.704,0.189,0.93,1
task090,34,147.0,0.649,0.676,0.141,0.924,1
task091,39,62.0,0.517,0.602,0.261,0.884,3
task092,38,86.0,0.564,0.63,0.243,0.961,2
task093,35,98.0,0.587,0.659,0.27,0.963,3
task094,38,96.0,0.547,0.607,0.222,0.933,1
task095,41,70.0,0.642,0.674,0.178,0.912,2
task096,34,282.0,0.873,0.748,0.236,0.784,2
task097,39,93.0,0.65,0.639,0.225,0.942,1
task098,39,64.0,0.604,0.55,0.165,0.894,1
task099,34,93.0,0.504,0.515,0.23,0.905,1
task100,35,85.0,0.85,0.744,0.211,0.925,1
task101,33,258.0,0.683,0.656,0.207,0.93,1
task102,35,124.0,0.602,0.575,0.214,0.891,1
task103,45,29.0,1.0,0.864,0.203,0.77,24
task104,39,84.0,0.656,0.685,0.22,0.921,3
task105,34,124.0,0.501,0.55,0.206,0.865,1
task106,41,55.0,0.679,0.662,0.144,0.869,1
task107,39,132.0,0.644,0.645,0.231,0.909,1
task108,42,46.0,0.708,0.612,0.228,0.874,3
task109,38,77.0,0.798,0.706,0.213,0.919,1
task110,36,83.0,0.419,0.53,0.251,0.877,1
task111,42,60.0,0.745,0.769,0.173,0.878,5
task112,37,91.0,0.587,0.626,0.175,0.925,2
task113,44,25.0,1.0,0.963,0.067,0.562,31
task114,41,64.0,0.985,0.85,0.186,0.81,4
task115,40,51.0,0.685,0.635,0.22,0.867,2
task116,44,20.0,1.0,0.999,0.007,0.059,43
task117,33,115.0,0.516,0.5,0.2,0.873,1
task118,35,225.0,0.804,0.791,0.106,0.596,1
task119,34,102.0,0.492,0.585,0.305,0.903,4
task120,38,78.0,0.656,0.567,0.227,0.943,1
task121,38,85.0,0.787,0.692,0.267,0.945,2
task122,34,70.0,0.568,0.574,0.244,0.959,1
task123,38,71.0,0.922,0.778,0.229,0.906,3
task124,35,95.0,0.76,0.667,0.262,0.949,1
task125,34,110.0,0.534,0.601,0.232,0.94,1
task126,44,54.0,0.832,0.682,0.299,0.896,9
task127,41,57.0,0.671,0.592,0.205,0.935,1
task128,40,57.0,0.776,0.66,0.299,0.963,1
task129,43,47.0,0.979,0.961,0.041,0.772,12
task130,42,61.0,0.878,0.727,0.232,0.908,1
task131,38,117.0,0.584,0.626,0.196,0.93,1
task132,41,86.0,0.453,0.549,0.226,0.894,3
task133,34,273.0,0.85,0.813,0.158,0.572,1
task134,34,123.0,0.575,0.542,0.203,0.932,1
task135,45,32.0,1.0,0.974,0.063,0.595,33
task136,38,94.0,0.657,0.645,0.206,0.945,1
task137,36,137.0,0.848,0.742,0.243,0.904,1
task138,34,103.0,0.581,0.585,0.283,0.922,3
task139,38,81.0,0.611,0.585,0.245,0.953,1
task140,44,36.0,1.0,0.999,0.004,0.059,43
